status	relative_path	left_size	right_size	delta_right_minus_left	left_target	right_target
different	usr/lib/swift/appletvsimulator/_Volatile.swiftmodule/arm64-apple-tvos-simulator.private.swiftinterface	2748	2748	0		
different	usr/lib/swift/appletvsimulator/_Volatile.swiftmodule/arm64-apple-tvos-simulator.swiftdoc	3760	3760	0		
different	usr/lib/swift/appletvsimulator/_Volatile.swiftmodule/arm64-apple-tvos-simulator.swiftinterface	2748	2748	0		
different	usr/lib/swift/appletvsimulator/_Volatile.swiftmodule/arm64-apple-tvos-simulator.swiftmodule	24984	24984	0		
different	usr/lib/swift/appletvsimulator/_Volatile.swiftmodule/arm64-apple-tvos-simulator.swiftsourceinfo	4396	4396	0		
different	usr/lib/swift/appletvsimulator/_Volatile.swiftmodule/x86_64-apple-tvos-simulator.private.swiftinterface	2749	2749	0		
different	usr/lib/swift/appletvsimulator/_Volatile.swiftmodule/x86_64-apple-tvos-simulator.swiftdoc	3760	3760	0		
different	usr/lib/swift/appletvsimulator/_Volatile.swiftmodule/x86_64-apple-tvos-simulator.swiftinterface	2749	2749	0		
different	usr/lib/swift/appletvsimulator/_Volatile.swiftmodule/x86_64-apple-tvos-simulator.swiftmodule	24984	24984	0		
different	usr/lib/swift/appletvsimulator/_Volatile.swiftmodule/x86_64-apple-tvos-simulator.swiftsourceinfo	4396	4396	0		
different	usr/lib/swift/appletvsimulator/libswiftCxx.a	356656	356656	0		
different	usr/lib/swift/appletvsimulator/libswiftCxxStdlib.a	471504	471504	0		
different	usr/lib/swift/embedded/EmbeddedPlatformPOSIX.swiftmodule/aarch64-none-none-elf.swiftdoc	432	432	0		
different	usr/lib/swift/embedded/EmbeddedPlatformPOSIX.swiftmodule/aarch64-none-none-elf.swiftmodule	97344	97344	0		
different	usr/lib/swift/embedded/EmbeddedPlatformPOSIX.swiftmodule/aarch64-none-none-elf.swiftsourceinfo	1608	1608	0		
different	usr/lib/swift/embedded/EmbeddedPlatformPOSIX.swiftmodule/arm64-apple-ios.swiftdoc	428	428	0		
different	usr/lib/swift/embedded/EmbeddedPlatformPOSIX.swiftmodule/arm64-apple-ios.swiftmodule	97340	97340	0		
different	usr/lib/swift/embedded/EmbeddedPlatformPOSIX.swiftmodule/arm64-apple-ios.swiftsourceinfo	1604	1604	0		
different	usr/lib/swift/embedded/EmbeddedPlatformPOSIX.swiftmodule/arm64-apple-macos.swiftdoc	428	428	0		
different	usr/lib/swift/embedded/EmbeddedPlatformPOSIX.swiftmodule/arm64-apple-macos.swiftmodule	97340	97340	0		
